Year,State,Clear,Cloudy,Fair,Mostly Cloudy,Partly Cloudy
2021,FL,0,21157,99281,36941,28197
2021,GA,0,3094,8498,2797,1575
2021,IA,0,1094,2731,477,297
2021,ID,0,662,2248,234,140
2021,IL,0,5748,10814,3965,2177
2021,IN,0,2620,4975,1399,1132
2021,KS,0,616,1908,158,144
2021,KY,0,911,1916,602,318
2021,LA,0,5822,13575,4612,2249
2021,MA,0,2069,4839,1557,882
2021,MD,0,4860,10792,2884,2472
2021,ME,0,45,85,27,29
2021,MI,0,5353,7552,2698,1447
2021,MN,0,6841,17167,2541,2492
2021,MO,0,2557,6911,1304,797
2021,MS,0,606,1363,338,252
2021,MT,0,1987,2435,694,273
2021,NC,0,8953,24940,11415,6852
2021,ND,0,182,515,91,30
2021,NE,0,364,967,139,185
2021,NH,0,229,380,153,72
2021,NJ,0,4210,9626,3010,1850
2021,NM,0,106,1195,293,284
2021,NV,0,300,1977,563,300
2021,NY,0,9752,16252,9314,4647
2021,OH,0,2955,5071,1805,1386
2021,OK,0,1180,4716,962,676
2021,OR,0,7026,11733,3461,1536
2021,PA,0,13825,26742,6604,4815
2021,RI,0,377,837,467,220
2021,SC,0,10679,37798,7390,6523
2021,SD,0,1,24,0,0
2021,TN,0,5882,11197,8396,5419
2021,TX,0,16341,39024,15175,10544
2021,UT,0,1803,7218,2902,1472
2021,VA,0,9477,26556,7666,5213
2021,VT,0,25,28,9,5
2021,WA,0,3864,4664,1877,869
2021,WI,0,617,1014,422,240
2021,WV,0,574,1230,375,287
2021,WY,0,114,174,20,11
2022,AL,0,2349,8041,2339,1514
2022,AR,0,1184,2941,579,392
2022,AZ,0,961,20380,2665,1802
2022,CA,0,23286,184959,17585,12724
2022,CO,0,1250,6786,2115,1772
2022,CT,0,1996,7611,1429,967
2022,DC,0,793,1815,1026,685
2022,DE,0,330,1366,143,82
2022,FL,0,15969,83082,34608,28656
2022,GA,0,3827,11246,3387,2215
2022,IA,0,533,1415,270,180
2022,ID,0,192,745,94,69
2022,IL,0,3565,7448,3101,1693
2022,IN,0,2281,4286,1081,894
2022,KS,0,619,2480,175,146
2022,KY,0,387,1041,303,211
2022,LA,0,2931,12318,3883,2042
2022,MA,0,1003,2771,670,388
2022,MD,0,3872,10295,2583,1993
2022,ME,0,11,34,13,16
2022,MI,0,4944,6874,2646,1433
2022,MN,0,4611,9343,1914,1795
2022,MO,0,2096,7041,1139,582
2022,MS,0,342,1254,235,229
2022,MT,0,2276,2577,568,356
2022,NC,0,8160,20919,11264,5978
2022,ND,0,110,244,26,16
2022,NE,0,130,582,78,80
2022,NH,0,55,148,67,30
2022,NJ,0,4535,13322,3960,2618
2022,NM,0,85,602,134,133
2022,NV,0,169,1617,521,251
2022,NY,0,8685,24462,13602,7431
2022,OH,0,4761,6697,2200,1467
2022,OK,0,899,3750,847,519
2022,OR,0,4089,8361,2063,810
2022,PA,0,9665,25380,5639,4257
2022,RI,0,152,486,270,134
2022,SC,0,8924,32951,6752,6344
2022,SD,0,0,9,0,0
2022,TN,0,3746,8890,7045,4590
2022,TX,0,11299,33080,11110,7852
2022,UT,0,1022,4992,2255,1081
2022,VA,0,9952,30883,9503,6371
2022,VT,0,4,6,11,2
2022,WA,0,2786,4366,1481,672
2022,WI,0,1173,1801,777,588
2022,WV,0,597,1224,493,320
2022,WY,0,235,413,98,42
2023,AL,0,172,224,62,28
2023,AR,0,271,205,33,9
2023,AZ,0,459,2200,511,297
2023,CA,0,6369,25405,4969,2308
2023,CO,0,385,863,367,205
2023,CT,0,544,625,109,56
2023,DC,0,106,141,88,54
2023,DE,0,29,38,4,2
2023,FL,0,2013,7603,2502,1683
2023,GA,0,1110,2209,628,330
2023,IA,0,105,41,11,2
2023,ID,0,36,37,10,6
2023,IL,0,911,729,289,72
2023,IN,0,374,216,83,52
2023,KS,0,183,235,16,26
2023,KY,0,27,12,7,1
2023,LA,0,408,962,191,73
2023,MA,0,16,13,6,1
2023,MD,0,506,514,242,134
2023,MI,0,1098,613,151,92
2023,MN,0,1591,1182,209,119
2023,MO,0,405,536,64,43
2023,MS,0,48,80,9,13
2023,MT,0,307,272,54,38
2023,NC,0,1081,2589,958,420
2023,ND,0,31,19,2,0
2023,NE,0,18,27,2,1
2023,NJ,0,758,1051,338,128
2023,NM,0,9,19,1,2
2023,NV,0,65,180,173,86
2023,NY,0,1576,1699,1066,387
2023,OH,0,1399,334,210,116
2023,OK,0,88,188,57,38
2023,OR,0,966,1062,476,193
2023,PA,0,2059,1773,535,262
2023,RI,0,4,4,5,1
2023,SC,0,988,2922,392,289
2023,TN,0,440,574,231,116
2023,TX,0,2286,4209,987,488
2023,UT,0,284,274,130,59
2023,VA,0,1535,2944,1016,659
2023,WA,0,443,288,231,72
2023,WI,0,344,235,65,15
2023,WV,0,215,180,69,35
2023,WY,0,45,56,6,11
